pathway_id	pathway_name	ec_number	ec_name	product
10	Glycolysis / Gluconeogenesis	1.1.1.1	Alcohol dehydrogenase	Alcohol dehydrogenase (EC 1.1.1.1)
10	Glycolysis / Gluconeogenesis	1.1.1.1	Alcohol dehydrogenase	Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)
10	Glycolysis / Gluconeogenesis	4.2.1.11	Phosphopyruvate hydratase	Enolase (EC 4.2.1.11)
10	Glycolysis / Gluconeogenesis	4.1.2.13	Fructose-bisphosphate aldolase	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
10	Glycolysis / Gluconeogenesis	5.3.1.9	Glucose-6-phosphate isomerase	Glucose-6-phosphate isomerase (EC 5.3.1.9)
10	Glycolysis / Gluconeogenesis	1.1.1.27	L-lactate dehydrogenase	L-lactate dehydrogenase (EC 1.1.1.27)
10	Glycolysis / Gluconeogenesis	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
10	Glycolysis / Gluconeogenesis	5.4.2.2	Phosphoglucomutase	Phosphoglucomutase (EC 5.4.2.2)
10	Glycolysis / Gluconeogenesis	2.7.2.3	Phosphoglycerate kinase	Phosphoglycerate kinase (EC 2.7.2.3)
10	Glycolysis / Gluconeogenesis	5.4.2.1	Phosphoglycerate mutase	Phosphoglycerate mutase (EC 5.4.2.1)
10	Glycolysis / Gluconeogenesis	2.7.1.63	Polyphosphate--glucose phosphotransferase	Polyphosphate glucokinase (EC 2.7.1.63)
10	Glycolysis / Gluconeogenesis	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	PTS system, cellobiose-specific IIC component (EC 2.7.1.69)
10	Glycolysis / Gluconeogenesis	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	PTS system, mannose-specific IIB component (EC 2.7.1.69)
10	Glycolysis / Gluconeogenesis	2.7.1.40	Pyruvate kinase	Pyruvate kinase (EC 2.7.1.40)
10	Glycolysis / Gluconeogenesis	5.3.1.1	Triose-phosphate isomerase	Triosephosphate isomerase (EC 5.3.1.1)
20	Citrate cycle (TCA cycle)	1.3.99.1	Succinate dehydrogenase	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)
20	Citrate cycle (TCA cycle)	1.3.99.1	Succinate dehydrogenase	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)
30	Pentose phosphate pathway	1.1.1.44	Phosphogluconate dehydrogenase (decarboxylating)	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)
30	Pentose phosphate pathway	3.1.1.31	6-phosphogluconolactonase	6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type
30	Pentose phosphate pathway	4.1.2.4	Deoxyribose-phosphate aldolase	Deoxyribose-phosphate aldolase (EC 4.1.2.4)
30	Pentose phosphate pathway	4.1.2.13	Fructose-bisphosphate aldolase	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
30	Pentose phosphate pathway	2.7.1.12	Gluconokinase	Gluconokinase (EC 2.7.1.12)
30	Pentose phosphate pathway	1.1.1.49	Glucose-6-phosphate dehydrogenase	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)
30	Pentose phosphate pathway	5.3.1.9	Glucose-6-phosphate isomerase	Glucose-6-phosphate isomerase (EC 5.3.1.9)
30	Pentose phosphate pathway	5.4.2.2	Phosphoglucomutase	Phosphoglucomutase (EC 5.4.2.2)
30	Pentose phosphate pathway	2.7.1.15	Ribokinase	Ribokinase (EC 2.7.1.15)
30	Pentose phosphate pathway	5.3.1.6	Ribose-5-phosphate isomerase	Ribose 5-phosphate isomerase A (EC 5.3.1.6)
30	Pentose phosphate pathway	2.7.6.1	Ribose-phosphate diphosphokinase	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
30	Pentose phosphate pathway	5.1.3.1	Ribulose-phosphate 3-epimerase	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
30	Pentose phosphate pathway	2.2.1.2	Transaldolase	Transaldolase (EC 2.2.1.2)
30	Pentose phosphate pathway	2.2.1.1	Transketolase	Transketolase (EC 2.2.1.1)
30	Pentose phosphate pathway	4.1.2.9	Phosphoketolase	Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9); Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)
40	Pentose and glucuronate interconversions	5.3.1.4	L-arabinose isomerase	L-arabinose isomerase (EC 5.3.1.4)
40	Pentose and glucuronate interconversions	5.1.3.4	L-ribulose-5-phosphate 4-epimerase	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
40	Pentose and glucuronate interconversions	2.7.1.16	Ribulokinase	Ribulokinase (EC 2.7.1.16)
40	Pentose and glucuronate interconversions	5.1.3.1	Ribulose-phosphate 3-epimerase	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
40	Pentose and glucuronate interconversions	4.2.1.-	Hydro-lyases.	tRNA pseudouridine 13 synthase (EC 4.2.1.-)
40	Pentose and glucuronate interconversions	2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
40	Pentose and glucuronate interconversions	5.3.1.5	Xylose isomerase	Xylose isomerase (EC 5.3.1.5)
40	Pentose and glucuronate interconversions	2.7.1.17	Xylulokinase	Xylulose kinase (EC 2.7.1.17)
51	Fructose and mannose metabolism	2.4.1.-	Hexosyltransferases.	Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)
51	Fructose and mannose metabolism	2.7.1.4	Fructokinase	Fructokinase (EC 2.7.1.4)
51	Fructose and mannose metabolism	4.1.2.13	Fructose-bisphosphate aldolase	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
51	Fructose and mannose metabolism	2.4.1.-	Hexosyltransferases.	Glycosyltransferase (EC 2.4.1.-)
