go_id	go_term	product
GO:0000104	succinate dehydrogenase activity	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)
GO:0000104	succinate dehydrogenase activity	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)
GO:0000154	rRNA modification	Dimethyladenosine transferase (EC 2.1.1.-)
GO:0000286	alanine dehydrogenase activity	Alanine dehydrogenase (EC 1.4.1.1)
GO:0000774	adenyl-nucleotide exchange factor activity	Heat shock protein GrpE
GO:0003676	nucleic acid binding	ATP-dependent DNA helicase RecG (EC 3.6.1.-)
GO:0003676	nucleic acid binding	DNA primase (EC 2.7.7.-)
GO:0003676	nucleic acid binding	Excinuclease ABC subunit B
GO:0003676	nucleic acid binding	GTP-binding protein Era
GO:0003676	nucleic acid binding	Phosphate starvation-inducible protein PhoH, predicted ATPase
GO:0003676	nucleic acid binding	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
GO:0003676	nucleic acid binding	Recombination protein RecR
GO:0003676	nucleic acid binding	Ribonuclease HI (EC 3.1.26.4)
GO:0003676	nucleic acid binding	Ribonuclease HI (EC 3.1.26.4) / DNA polymerase III epsilon subunit (EC 2.7.7.7)
GO:0003676	nucleic acid binding	SSU ribosomal protein S3p (S3e)
GO:0003676	nucleic acid binding	Topoisomerase IV subunit B (EC 5.99.1.-)
GO:0003676	nucleic acid binding	Transcription termination protein NusA
GO:0003676	nucleic acid binding	Transcription-repair coupling factor
GO:0003677	DNA binding	A/G-specific adenine glycosylase (EC 3.2.2.-)
GO:0003677	DNA binding	ATP-dependent DNA helicase pcrA (EC 3.6.1.-)
GO:0003677	DNA binding	DNA primase (EC 2.7.7.-)
GO:0003677	DNA binding	DNA-binding protein HU-alpha
GO:0003677	DNA binding	Excinuclease ABC subunit B
GO:0003677	DNA binding	Excinuclease ABC subunit C
GO:0003677	DNA binding	Holliday junction DNA helicase RuvA
GO:0003677	DNA binding	Holliday junction DNA helicase RuvB
GO:0003677	DNA binding	Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family
GO:0003677	DNA binding	RNA polymerase sigma factor RpoD
GO:0003677	DNA binding	Topoisomerase IV subunit A (EC 5.99.1.-)
GO:0003677	DNA binding	Topoisomerase IV subunit B (EC 5.99.1.-)
GO:0003677	DNA binding	Transcription elongation factor GreA
GO:0003677	DNA binding	Transcriptional regulator, GntR family
GO:0003678	DNA helicase activity	DNA repair protein RadA
GO:0003678	DNA helicase activity	Replicative DNA helicase (EC 3.6.1.-)
GO:0003697	single-stranded DNA binding	Single-stranded DNA-binding protein
GO:0003700	transcription factor activity	Heat-inducible transcription repressor HrcA
GO:0003700	transcription factor activity	Hydrogen peroxide-inducible genes activator
GO:0003700	transcription factor activity	MSM (multiple sugar metabolism) operon regulatory protein
GO:0003700	transcription factor activity	Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family
GO:0003700	transcription factor activity	RNA polymerase sigma factor RpoD
GO:0003700	transcription factor activity	Transcription-repair coupling factor
GO:0003700	transcription factor activity	Transcriptional regulator, GntR family
GO:0003700	transcription factor activity	Zinc uptake regulation protein ZUR
GO:0003711	transcription elongation regulator activity	Transcription antitermination protein NusG
GO:0003711	transcription elongation regulator activity	Transcription elongation factor GreA
GO:0003715	transcription termination factor activity	Transcription termination factor Rho
GO:0003723	RNA binding	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)
GO:0003723	RNA binding	LSU ribosomal protein L20p
GO:0003723	RNA binding	LSU ribosomal protein L21p
GO:0003723	RNA binding	Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)
GO:0003723	RNA binding	Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)
GO:0003723	RNA binding	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)
GO:0003723	RNA binding	SSU ribosomal protein S13p (S18e)
GO:0003723	RNA binding	SSU ribosomal protein S1p
GO:0003723	RNA binding	SSU ribosomal protein S20p
GO:0003723	RNA binding	SSU ribosomal protein S4p (S9e)
GO:0003723	RNA binding	Transcription termination factor Rho
GO:0003723	RNA binding	Transcription termination protein NusA
GO:0003723	RNA binding	Transcription termination protein NusB
GO:0003723	RNA binding	Translation initiation factor 1
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L11p (L12e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L13p (L13Ae)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L14p (L23e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L15p (L27Ae)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L16p (L10e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L17p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L18p (L5e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L19p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L1p (L10Ae)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L20p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L21p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L22p (L17e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L25p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L27p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L28p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L29p (L35e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L2p (L8e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L30p (L7e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L31p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L32p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L33p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L34p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L35p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L36p
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L3p (L3e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L4p (L1e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L5p (L11e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L6p (L9e)
GO:0003735	structural constituent of ribosome	LSU ribosomal protein L9p
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S10p (S20e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S11p (S14e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S12p (S23e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S13p (S18e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S14p (S29e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-dependent
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S15p (S13e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S16p
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S17p (S11e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S19p (S15e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S20p
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S2p (SAe)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S3p (S3e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S4p (S9e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S5p (S2e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S6p
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S7p (S5e)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S8p (S15Ae)
GO:0003735	structural constituent of ribosome	SSU ribosomal protein S9p (S16e)
GO:0003743	translation initiation factor activity	Translation initiation factor 1
GO:0003743	translation initiation factor activity	Translation initiation factor 2
GO:0003743	translation initiation factor activity	Translation initiation factor 3
GO:0003746	translation elongation factor activity	Translation elongation factor Ts
GO:0003747	translation release factor activity	Peptide chain release factor 1
GO:0003747	translation release factor activity	Peptide chain release factor 2
GO:0003824	catalytic activity	Cardiolipin synthetase (EC 2.7.8.-)
GO:0003824	catalytic activity	Fumarylacetoacetate hydrolase family protein
GO:0003824	catalytic activity	Glycogen debranching enzyme (EC 3.2.1.-)
GO:0003824	catalytic activity	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)
GO:0003824	catalytic activity	Sulfur carrier protein adenylyltransferase ThiF
GO:0003824	catalytic activity	Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)
GO:0003856	3-dehydroquinate synthase activity	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)
GO:0003856	3-dehydroquinate synthase activity	Shikimate kinase I (EC 2.7.1.71) / 3-dehydroquinate synthase (EC 4.2.3.4)
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)
GO:0003883	CTP synthase activity	CTP synthase (EC 6.3.4.2)
GO:0003887	DNA-directed DNA polymerase activity	DNA polymerase I (EC 2.7.7.7)
GO:0003887	DNA-directed DNA polymerase activity	DNA polymerase III alpha subunit (EC 2.7.7.7)
GO:0003887	DNA-directed DNA polymerase activity	DNA polymerase III beta subunit (EC 2.7.7.7)
GO:0003887	DNA-directed DNA polymerase activity	DNA polymerase III delta prime subunit (EC 2.7.7.7)
GO:0003887	DNA-directed DNA polymerase activity	DNA polymerase III delta subunit (EC 2.7.7.7)
GO:0003887	DNA-directed DNA polymerase activity	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
GO:0003887	DNA-directed DNA polymerase activity	DNA polymerase IV (EC 2.7.7.7)
GO:0003887	DNA-directed DNA polymerase activity	Ribonuclease HI (EC 3.1.26.4) / DNA polymerase III epsilon subunit (EC 2.7.7.7)
GO:0003896	DNA primase activity	DNA primase (EC 2.7.7.-)
GO:0003899	DNA-directed RNA polymerase activity	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)
GO:0003899	DNA-directed RNA polymerase activity	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
GO:0003899	DNA-directed RNA polymerase activity	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
GO:0003899	DNA-directed RNA polymerase activity	DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)
GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	Endonuclease III (EC 4.2.99.18)
GO:0003911	DNA ligase (NAD+) activity	DNA ligase (EC 6.5.1.2)
