id_short	id_full	id_full_underscore	id_abbr	raxml_subclade	raxml_clade
GV16	Gardnerella vaginalis 75712	Gardnerella_vaginalis_75712	75712	1A	1
GV04	Gardnerella vaginalis 0288E	Gardnerella_vaginalis_0288E	0288E	1A	1
GV08	Gardnerella vaginalis 284V	Gardnerella_vaginalis_284V	284V	1A	1
GV09	Gardnerella vaginalis 315-A	Gardnerella_vaginalis_315-A	315-A	1A	1
GV18	Gardnerella vaginalis ATCC 14018	Gardnerella_vaginalis_ATCC_14018	ATCC 14018	1A	1
GV19	Gardnerella vaginalis ATCC 14019	Gardnerella_vaginalis_ATCC_14019	ATCC 14019	1A	1
GV20	Gardnerella vaginalis HMP9231	Gardnerella_vaginalis_HMP9231	HMP9231	1A	1
GV22	Gardnerella vaginalis JCP7276	Gardnerella_vaginalis_JCP7276	JCP7276	1A	1
GV24	Gardnerella vaginalis JCP7672	Gardnerella_vaginalis_JCP7672	JCP7672	1A	1
GV13	Gardnerella vaginalis 55152	Gardnerella_vaginalis_55152	55152	1B	1
GV06	Gardnerella vaginalis 1400E	Gardnerella_vaginalis_1400E	1400E	1B	1
GV11	Gardnerella vaginalis 41V	Gardnerella_vaginalis_41V	41V	1B	1
GV21	Gardnerella vaginalis JCP7275	Gardnerella_vaginalis_JCP7275	JCP7275	1B	1
GV30	Gardnerella vaginalis JCP8108	Gardnerella_vaginalis_JCP8108	JCP8108	1B	1
GV28	Gardnerella vaginalis JCP8066	Gardnerella_vaginalis_JCP8066	JCP8066	2A	2
GV29	Gardnerella vaginalis JCP8070	Gardnerella_vaginalis_JCP8070	JCP8070	2A	2
GV31	Gardnerella vaginalis JCP8151A	Gardnerella_vaginalis_JCP8151A	JCP8151A	2A	2
GV32	Gardnerella vaginalis JCP8151B	Gardnerella_vaginalis_JCP8151B	JCP8151B	2A	2
GV35	Gardnerella vaginalis JCP8522	Gardnerella_vaginalis_JCP8522	JCP8522	2A	2
GV01	Gardnerella vaginalis 00703Bmash	Gardnerella_vaginalis_00703Bmash	00703Bmash	2B	2
GV02	Gardnerella vaginalis 00703C2mash	Gardnerella_vaginalis_00703C2mash	00703C2mash	2B	2
GV23	Gardnerella vaginalis JCP7659	Gardnerella_vaginalis_JCP7659	JCP7659	2B	2
GV25	Gardnerella vaginalis JCP7719	Gardnerella_vaginalis_JCP7719	JCP7719	2B	2
GV26	Gardnerella vaginalis JCP8017A	Gardnerella_vaginalis_JCP8017A	JCP8017A	2B	2
GV27	Gardnerella vaginalis JCP8017B	Gardnerella_vaginalis_JCP8017B	JCP8017B	2B	2
GV05	Gardnerella vaginalis 101	Gardnerella_vaginalis_101	101	3A	3
GV03	Gardnerella vaginalis 00703Dmash	Gardnerella_vaginalis_00703Dmash	00703Dmash	3A	3
GV07	Gardnerella vaginalis 1500E	Gardnerella_vaginalis_1500E	1500E	3A	3
GV14	Gardnerella vaginalis 6119V5	Gardnerella_vaginalis_6119V5	6119V5	3A	3
GV33	Gardnerella vaginalis JCP8481A	Gardnerella_vaginalis_JCP8481A	JCP8481A	3A	3
GV34	Gardnerella vaginalis JCP8481B	Gardnerella_vaginalis_JCP8481B	JCP8481B	3A	3
GV10	Gardnerella vaginalis 409-05	Gardnerella_vaginalis_409-05	409-05	3B	3
GV12	Gardnerella vaginalis 5-1	Gardnerella_vaginalis_5-1	5-1	3B	3
GV15	Gardnerella vaginalis 6420B	Gardnerella_vaginalis_6420B	6420B	3B	3
GV17	Gardnerella vaginalis AMD	Gardnerella_vaginalis_AMD	AMD	3B	3
