"Category","Group","Database","a","b","c","d","Odds ratio","p-value","q-value","Product"
"clust_0004","group5","ortho_id",60,43190,19,35996,2.63178433953349,0.000102280680184668,0.00321732758396602,"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"clust_0007","group5","ortho_id",58,43192,15,36000,3.22266433051171,1.54041728072426e-05,0.000681044138251499,"Pullulanase (EC 3.2.1.41)"
"clust_0007","group6","ortho_id",0,9267,73,69925,0,0.000177925662188269,0.00494063308549584,"Pullulanase (EC 3.2.1.41)"
"clust_0022","group5","ortho_id",47,43203,13,36002,3.01262173796115,0.000217207487419769,0.00494063308549584,"Similar to tetracycline resistance protein"
"clust_0262","group6","ortho_id",0,9267,55,69943,0,0.00232476425620228,0.032937714981606,"Sortase A, LPXTG specific"
"clust_0262","group5","ortho_id",44,43206,11,36004,3.3330881876442,0.000112422340800702,0.00353291563421276,"Sortase A, LPXTG specific"
"clust_0708","group6","ortho_id",0,9267,52,69946,0,0.0036118073159707,0.048502908101137,"LPXTG-motif cell wall anchor domain protein"
"clust_0708","group3","ortho_id",0,15430,52,63783,0,2.46006492856256e-05,0.000922339487840606,"LPXTG-motif cell wall anchor domain protein"
"clust_0708","group5","ortho_id",52,43198,0,36015,Inf,2.35305893600516e-14,1.21700435762648e-10,"LPXTG-motif cell wall anchor domain protein"
"clust_0778","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"putative ABC transport system membrane protein"
"clust_0779","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE"
"clust_0780","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"Maltose/maltodextrin ABC transporter, permease protein MalF"
"clust_0781","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"Maltose/maltodextrin ABC transporter, permease protein MalG"
"clust_0783","group5","ortho_id",38,43212,11,36004,2.87815055449594,0.00133961017800156,0.0227579348783492,"FIG00672498: hypothetical protein"
"clust_0784","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"FIG00671968: hypothetical protein"
"clust_0791","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)"
"clust_0793","group4","ortho_id",16,1999,32,77218,19.3121009699329,3.00207667386509e-14,1.21700435762648e-10,"Mobile element protein"
"clust_0793","group5","ortho_id",0,43250,48,35967,0,3.53075193801762e-17,2.29011632203699e-13,"Mobile element protein"
"clust_0793","group6","ortho_id",20,9247,28,69970,5.40467344698419,1.4012794886459e-07,1.44816926329787e-05,"Mobile element protein"
"clust_0794","group5","ortho_id",0,43250,48,35967,0,3.53075193801762e-17,2.29011632203699e-13,"Mobile element protein"
"clust_0794","group6","ortho_id",20,9247,28,69970,5.40467344698419,1.4012794886459e-07,1.44816926329787e-05,"Mobile element protein"
"clust_0794","group4","ortho_id",16,1999,32,77218,19.3121009699329,3.00207667386509e-14,1.21700435762648e-10,"Mobile element protein"
"clust_0809","group5","ortho_id",37,43213,9,36006,3.42531521258427,0.000312679207391057,0.0068379418582476,"Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family"
"clust_0811","group5","ortho_id",35,43215,10,36005,2.9159019238354,0.00151811044517853,0.0239231486139868,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
"clust_0814","group5","ortho_id",35,43215,10,36005,2.9159019238354,0.00151811044517853,0.0239231486139868,"FIG00671951: hypothetical protein"
"clust_0815","group5","ortho_id",35,43215,10,36005,2.9159019238354,0.00151811044517853,0.0239231486139868,"permease"
"clust_0816","group3","ortho_id",0,15430,45,63790,0,9.17911043514749e-05,0.00289298086027472,"Transcriptional regulator, AsnC family"
"clust_0816","group5","ortho_id",35,43215,10,36005,2.9159019238354,0.00151811044517853,0.0239231486139868,"Transcriptional regulator, AsnC family"
"clust_0819","group3","ortho_id",27,15403,17,63818,6.58018616334646,1.29096976808883e-09,5.98106293555555e-07,"Mobile element protein"
"clust_0819","group5","ortho_id",8,43242,36,35979,0.184919875359505,9.71836614427655e-07,7.57635414483252e-05,"Mobile element protein"
"clust_0820","group5","ortho_id",35,43215,9,36006,3.24000217473685,0.000729568300589409,0.0144184214237752,"Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)"
"clust_0821","group5","ortho_id",35,43215,9,36006,3.24000217473685,0.000729568300589409,0.0144184214237752,"Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)"
"clust_0825","group5","ortho_id",35,43215,9,36006,3.24000217473685,0.000729568300589409,0.0144184214237752,"ATPase component STY3232 of energizing module of queuosine-regulated ECF transporter"
"clust_0829","group3","ortho_id",0,15430,43,63792,0,0.000144353303332933,0.00437934703497694,"FIG00672414: hypothetical protein"
"clust_0829","group5","ortho_id",43,43207,0,36015,Inf,7.30136873550696e-12,1.97325574551022e-08,"FIG00672414: hypothetical protein"
"clust_0830","group3","ortho_id",0,15430,43,63792,0,0.000144353303332933,0.00437934703497694,"Methionine ABC transporter permease protein"
"clust_0830","group5","ortho_id",35,43215,8,36007,3.64512914845848,0.000326420071817483,0.0070266249585143,"Methionine ABC transporter permease protein"
"clust_0831","group3","ortho_id",0,15430,43,63792,0,0.000144353303332933,0.00437934703497694,"COG1835: Predicted acyltransferases"
