"Group","Database","Category","a","b","c","d","Odds ratio","p-value","q-value"
"group1","pathway_id","531 Glycosaminoglycan degradation",28,845,256,17445,2.25792713372807,0.000302911117418431,0.00605987760037637
"group1","go_id","GO:0004565 beta-galactosidase activity",15,701,108,14541,2.88067010333062,0.000595581435460216,0.0112392970887621
"group1","go_id","GO:0009044 xylan 1,4-beta-xylosidase activity",4,712,10,14639,8.22250309080735,0.00321789856002348,0.0469354195135222
"group2","pathway_id","196 Photosynthesis - antenna proteins",3,1200,0,17371,Inf,0.000271060932139838,0.00548261918543617
"group2","pathway_id","290 Valine, leucine and isoleucine biosynthesis",33,1170,221,17150,2.18863486397769,0.000145943231702669,0.00331862218176069
"group2","pathway_id","364 Fluorobenzoate degradation",6,1197,2,17369,43.4920342739757,1.82349349940936e-06,5.96054437619435e-05
"group2","pathway_id","600 Sphingolipid metabolism",42,1161,365,17006,1.68542544037898,0.00292846267250703,0.0437595993634622
"group2","pathway_id","930 Caprolactam degradation",6,1197,7,17364,12.4295898149768,8.42249127248496e-05,0.0020340635397443
"group2","go_id","GO:0003961 O-acetylhomoserine aminocarboxypropyltransferase activity",12,963,36,14354,4.96739909506803,3.29828951972451e-05,0.000881389630051929
"group2","go_id","GO:0004000 adenosine deaminase activity",3,972,0,14390,Inf,0.000254778935772909,0.00518192046591455
"group2","go_id","GO:0004476 mannose-6-phosphate isomerase activity",3,972,1,14389,44.3634138205909,0.000970753851624783,0.0170862012057612
"group2","go_id","GO:0004556 alpha-amylase activity",3,972,0,14390,Inf,0.000254778935772909,0.00518192046591455
"group2","go_id","GO:0008888 glycerol dehydrogenase activity",3,972,0,14390,Inf,0.000254778935772909,0.00518192046591455
"group2","go_id","GO:0008928 mannose-1-phosphate guanylyltransferase (GDP) activity",3,972,1,14389,44.3634138205909,0.000970753851624783,0.0170862012057612
"group2","go_id","GO:0008949 oxalyl-CoA decarboxylase activity",3,972,0,14390,Inf,0.000254778935772909,0.00518192046591455
"group2","go_id","GO:0009042 valine-pyruvate transaminase activity",3,972,0,14390,Inf,0.000254778935772909,0.00518192046591455
"group2","go_id","GO:0009044 xylan 1,4-beta-xylosidase activity",6,969,8,14382,11.1272872127761,0.000124099458528476,0.00287549441565032
"group2","go_id","GO:0047575 4-carboxymuconolactone decarboxylase activity",9,966,18,14372,7.43629214410604,2.65924423128314e-05,0.000731207281504844
"group2","go_id","GO:0047631 ADP-ribose diphosphatase activity",6,969,18,14372,4.94262315401545,0.00321791595135047,0.0469354195135222
"group3","pathway_id","20 Citrate cycle (TCA cycle)",529,2897,2016,13132,1.18947068589896,0.00128188069458176,0.022136628409735
"group3","pathway_id","230 Purine metabolism",493,2933,2550,12598,0.83043330745507,0.00046019664146628,0.00886726265477922
"group3","pathway_id","240 Pyrimidine metabolism",304,3122,1712,13436,0.764219341576954,2.67636644964898e-05,0.000731207281504844
"group3","pathway_id","281 Geraniol degradation",0,3426,37,15111,0,0.000956128810978882,0.0170750613511887
"group3","pathway_id","290 Valine, leucine and isoleucine biosynthesis",88,3338,166,14982,2.37920925976454,7.92692725377136e-10,9.0689002112678e-08
"group3","pathway_id","30 Pentose phosphate pathway",1117,2309,5357,9791,0.88420152853261,0.00223219766968356,0.0349234002936389
"group3","pathway_id","340 Histidine metabolism",136,3290,424,14724,1.4354667194973,0.000476050286491491,0.00912471255939973
"group3","pathway_id","460 Cyanoamino acid metabolism",38,3388,49,15099,3.45583391373311,6.79994854998972e-08,4.65536581838735e-06
"group3","pathway_id","500 Starch and sucrose metabolism",286,3140,747,14401,1.75587150755352,7.51656095951776e-14,1.71988310454966e-11
"group3","pathway_id","52 Galactose metabolism",502,2924,1738,13410,1.32464102429761,4.21787254404346e-07,1.49918751298477e-05
"group3","pathway_id","520 Amino sugar and nucleotide sugar metabolism",287,3139,994,14154,1.30189696589544,0.000215762794079342,0.00464651523014395
"group3","pathway_id","53 Ascorbate and aldarate metabolism",243,3183,712,14436,1.54783442297702,3.74246600133359e-08,2.74023360617645e-06
"group3","pathway_id","531 Glycosaminoglycan degradation",84,3342,200,14948,1.87842164882791,4.46288376860902e-06,0.000138462859973539
"group3","pathway_id","550 Peptidoglycan biosynthesis",127,3299,742,14406,0.747428328194699,0.00265680982029179,0.0401936407902104
"group3","pathway_id","600 Sphingolipid metabolism",100,3326,307,14841,1.45342384223686,0.00187310816310891,0.0300331006372381
"group3","pathway_id","660 C5-Branched dibasic acid metabolism",56,3370,108,15040,2.31397293598602,1.39508046773159e-06,4.77326130127603e-05
"group3","pathway_id","940 Phenylpropanoid biosynthesis",86,3340,244,14904,1.57272310196871,0.000559338793111984,0.010665308966578
"group3","pathway_id","970 Aminoacyl-tRNA biosynthesis",184,3242,1078,14070,0.740781682880352,0.00019472753177521,0.00429456321583761
"group3","pathway_id","983 Drug metabolism - other enzymes",49,3377,335,14813,0.641617087702051,0.00335075746532354,0.0486790598434503
"group3","go_id","GO:0003861 3-isopropylmalate dehydratase activity",16,2855,24,12470,2.91151121748866,0.00163936612655436,0.026439292463945
"group3","go_id","GO:0003939 L-iditol 2-dehydrogenase activity",6,2865,0,12494,Inf,4.23796440010504e-05,0.00110822769062747
"group3","go_id","GO:0003962 cystathionine gamma-synthase activity",8,2863,6,12488,5.8148907197483,0.00150407735555401,0.0250292145394692
"group3","go_id","GO:0003984 acetolactate synthase activity",16,2855,24,12470,2.91151121748866,0.00163936612655436,0.026439292463945
"group3","go_id","GO:0003985 acetyl-CoA C-acetyltransferase activity",0,2871,32,12462,0,0.00229249698231151,0.0354127909377318
"group3","go_id","GO:0003988 acetyl-CoA C-acyltransferase activity",0,2871,32,12462,0,0.00229249698231151,0.0354127909377318
"group3","go_id","GO:0004065 arylsulfatase activity",6,2865,1,12493,26.1760722193993,0.000249225638720417,0.00518192046591455
"group3","go_id","GO:0004124 cysteine synthase activity",0,2871,35,12459,0,0.00154645236196009,0.0256179280413389
"group3","go_id","GO:0004148 dihydrolipoyl dehydrogenase activity",16,2855,16,12478,4.36999672841019,6.01476353035076e-05,0.00149796253636831
"group3","go_id","GO:0004340 glucokinase activity",5,2866,2,12492,10.894207504879,0.00340499833310341,0.0492715371442355
"group3","go_id","GO:0004342 glucosamine-6-phosphate deaminase activity",24,2847,38,12456,2.76299092452743,0.000219880537765905,0.00470750086994724
"group3","go_id","GO:0004355 glutamate synthase (NADPH) activity",16,2855,24,12470,2.91151121748866,0.00163936612655436,0.026439292463945
"group3","go_id","GO:0004421 hydroxymethylglutaryl-CoA synthase activity",0,2871,32,12462,0,0.00229249698231151,0.0354127909377318
"group3","go_id","GO:0004455 ketol-acid reductoisomerase activity",16,2855,20,12474,3.49495487584723,0.000342821999020606,0.00674769536781956
"group3","go_id","GO:0004512 inositol-3-phosphate synthase activity",0,2871,38,12456,0,0.000585968426152107,0.0111151834618801
