"Group","Database","Category","a","b","c","d","Odds ratio","p-value","q-value"
"group1","pathway_id","10 Glycolysis / Gluconeogenesis",123,750,2456,15245,1.01798897410823,0.84115256069452,1
"group1","pathway_id","1040 Biosynthesis of unsaturated fatty acids",2,871,18,17683,2.25565306096854,0.241556829574976,0.78888452548973
"group1","pathway_id","1051 Biosynthesis of ansamycins",19,854,396,17305,0.972238282241451,1,1
"group1","pathway_id","1053 Biosynthesis of siderophore group nonribosomal peptides",2,871,53,17648,0.764600909886414,1,1
"group1","pathway_id","1055 Biosynthesis of vancomycin group antibiotics",5,868,53,17648,1.91803854044581,0.197007792703148,0.734895169641541
"group1","pathway_id","1056 Biosynthesis of type II polyketide backbone",4,869,170,17531,0.474690598958251,0.150734889550842,0.664867988729678
"group1","pathway_id","1057 Biosynthesis of type II polyketide products",21,852,510,17191,0.830828376980895,0.466810945296732,1
"group1","pathway_id","120 Primary bile acid biosynthesis",2,871,34,17667,1.19313810197337,0.686111026848482,1
"group1","pathway_id","121 Secondary bile acid biosynthesis",2,871,29,17672,1.39921759656717,0.656092878734127,1
"group1","pathway_id","130 Ubiquinone and other terpenoid-quinone biosynthesis",23,850,427,17274,1.09462212472745,0.651518334833123,1
"group1","pathway_id","140 C21-Steroid hormone metabolism",0,873,33,17668,0,0.405013240853416,1
"group1","pathway_id","190 Oxidative phosphorylation",26,847,626,17075,0.837290661991821,0.450452397747529,1
"group1","pathway_id","195 Photosynthesis",18,855,444,17257,0.818256929357565,0.503147314056767,1
"group1","pathway_id","196 Photosynthesis - antenna proteins",0,873,3,17698,0,1,1
"group1","pathway_id","20 Citrate cycle (TCA cycle)",118,755,2427,15274,0.983598670758047,0.919688901047656,1
"group1","pathway_id","230 Purine metabolism",120,753,2923,14778,0.805709630859204,0.0311340727320372,0.254423750607116
"group1","pathway_id","231 Puromycin biosynthesis",6,867,191,17510,0.634435418800866,0.393742013281163,1
"group1","pathway_id","240 Pyrimidine metabolism",78,795,1938,15763,0.798027034649212,0.0656836944223261,0.415107041376224
"group1","pathway_id","250 Alanine, aspartate and glutamate metabolism",50,823,875,16826,1.16825812710193,0.299698359820792,0.903041724529975
"group1","pathway_id","253 Tetracycline biosynthesis",18,855,462,17239,0.785555580081572,0.381333294245923,0.998613154674052
"group1","pathway_id","260 Glycine, serine and threonine metabolism",49,824,824,16877,1.21795570182814,0.18986669321433,0.713657047081789
"group1","pathway_id","270 Cysteine and methionine metabolism",55,818,1137,16564,0.979522585051936,0.94363519294387,1
"group1","pathway_id","280 Valine, leucine and isoleucine degradation",9,864,219,17482,0.831530076527283,0.751958648376454,1
"group1","pathway_id","281 Geraniol degradation",0,873,37,17664,0,0.419416775865197,1
"group1","pathway_id","290 Valine, leucine and isoleucine biosynthesis",22,851,232,17469,1.94650700170714,0.00631404956436686,0.0805426322478992
"group1","pathway_id","30 Pentose phosphate pathway",275,598,6199,11502,0.853248070626859,0.0348074958469621,0.278397460565356
"group1","pathway_id","300 Lysine biosynthesis",27,846,505,17196,1.08671890946078,0.676927112680158,1
"group1","pathway_id","310 Lysine degradation",7,866,196,17505,0.721919394066188,0.504393321107845,1
"group1","pathway_id","311 Penicillin and cephalosporin biosynthesis",1,872,0,17701,Inf,0.0470011844513836,0.330906415916376
"group1","pathway_id","312 beta-Lactam resistance",1,872,0,17701,Inf,0.0470011844513836,0.330906415916376
"group1","pathway_id","330 Arginine and proline metabolism",46,827,845,16856,1.10953587786755,0.51576867338146,1
"group1","pathway_id","340 Histidine metabolism",31,842,529,17172,1.19511548988843,0.360234412336877,0.994583848842614
"group1","pathway_id","350 Tyrosine metabolism",35,838,704,16997,1.00837881620974,0.929325624211809,1
"group1","pathway_id","360 Phenylalanine metabolism",35,838,635,17066,1.12247767886344,0.514463561272924,1
"group1","pathway_id","361 gamma-Hexachlorocyclohexane degradation",3,870,65,17636,0.935599632218923,1,1
"group1","pathway_id","362 Benzoate degradation via hydroxylation",13,860,296,17405,0.888850788628111,0.786695985038621,1
"group1","pathway_id","363 Bisphenol A degradation",0,873,27,17674,0,0.636832338611019,1
"group1","pathway_id","364 Fluorobenzoate degradation",1,872,7,17694,2.89846866660219,0.319690416136079,0.946149242905566
"group1","pathway_id","380 Tryptophan metabolism",14,859,339,17362,0.834711871781127,0.611255888966683,1
"group1","pathway_id","40 Pentose and glucuronate interconversions",208,665,4395,13306,0.946969491983938,0.520749409488274,1
"group1","pathway_id","400 Phenylalanine, tyrosine and tryptophan biosynthesis",50,823,855,16846,1.19700495275157,0.226902528614456,0.781106873435114
"group1","pathway_id","401 Novobiocin biosynthesis",19,854,276,17425,1.40457753535817,0.163331629677969,0.683943328318181
"group1","pathway_id","4070 Phosphatidylinositol signaling system",4,869,106,17595,0.764058629931157,0.820429596150201,1
"group1","pathway_id","410 beta-Alanine metabolism",2,871,17,17684,2.38842832288798,0.223903568127086,0.78067710753644
"group1","pathway_id","4150 mTOR signaling pathway",5,868,37,17664,2.74978808719335,0.045867372036761,0.330743724221111
"group1","pathway_id","430 Taurine and hypotaurine metabolism",5,868,108,17593,0.938356066589121,1,1
"group1","pathway_id","440 Phosphonate and phosphinate metabolism",2,871,69,17632,0.586770919731521,0.77489615568285,1
"group1","pathway_id","450 Selenoamino acid metabolism",29,844,489,17212,1.20940771038193,0.341896752321964,0.972810078022731
"group1","pathway_id","460 Cyanoamino acid metabolism",7,866,80,17621,1.78033836381833,0.12963992646217,0.605967101935128
"group1","pathway_id","4660 T cell receptor signaling pathway",3,870,71,17630,0.856245687596854,1,1
"group1","pathway_id","471 D-Glutamine and D-glutamate metabolism",6,867,159,17542,0.763513784747067,0.70996673216444,1
"group1","pathway_id","473 D-Alanine metabolism",4,869,106,17595,0.764058629931157,0.820429596150201,1
"group1","pathway_id","480 Glutathione metabolism",17,856,353,17348,0.976001244747243,1,1
"group1","pathway_id","500 Starch and sucrose metabolism",59,814,974,16727,1.24474592098162,0.112456310324635,0.579738604815037
"group1","pathway_id","51 Fructose and mannose metabolism",43,830,773,16928,1.13452264839621,0.445734820717381,1
"group1","pathway_id","510 N-Glycan biosynthesis",1,872,3,17698,6.76472436978181,0.175173655678145,0.683943328318181
"group1","pathway_id","512 O-Glycan biosynthesis",5,868,104,17597,0.974666706659482,1,1
"group1","pathway_id","513 High-mannose type N-glycan biosynthesis",11,862,219,17482,1.01866974893556,0.875521214457288,1
"group1","pathway_id","52 Galactose metabolism",117,756,2123,15578,1.13556185150045,0.220595944664231,0.773970950179515
"group1","pathway_id","520 Amino sugar and nucleotide sugar metabolism",59,814,1222,16479,0.97743424537301,0.945432856630523,1
"group1","pathway_id","521 Streptomycin biosynthesis",15,858,344,17357,0.882108005921351,0.800467329726554,1
"group1","pathway_id","522 Biosynthesis of 12-, 14- and 16-membered macrolides",17,856,343,17358,1.00503390247763,0.900311032865399,1
"group1","pathway_id","523 Polyketide sugar unit biosynthesis",8,865,167,17534,0.97104428211112,1,1
"group1","pathway_id","53 Ascorbate and aldarate metabolism",61,812,894,16807,1.41225835212889,0.0147111213898609,0.156562254093839
"group1","pathway_id","531 Glycosaminoglycan degradation",28,845,256,17445,2.25792713372807,0.000302911117418431,0.00605987760037637
"group1","pathway_id","540 Lipopolysaccharide biosynthesis",10,863,255,17446,0.792769603975668,0.559804830251248,1
"group1","pathway_id","550 Peptidoglycan biosynthesis",35,838,834,16867,0.844683886057018,0.36709537092922,0.998613154674052
"group1","pathway_id","561 Glycerolipid metabolism",17,856,275,17426,1.25844329569212,0.329886115878325,0.961554992221774
"group1","pathway_id","562 Inositol phosphate metabolism",5,868,169,17532,0.597582461749428,0.364347802404059,0.997875646321685
"group1","pathway_id","563 Glycosylphosphatidylinositol(GPI)-anchor biosynthesis",5,868,104,17597,0.974666706659482,1,1
