product	product_lc
Chromosomal replication initiator protein DnaA	chromosomal replication initiator protein dnaa
DNA polymerase III beta subunit (EC 2.7.7.7)	dna polymerase iii beta subunit (ec 2.7.7.7)
DNA recombination and repair protein RecF	dna recombination and repair protein recf
Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	zn-ribbon-containing, possibly rna-binding protein and truncated derivatives
DNA gyrase subunit B (EC 5.99.1.3)	dna gyrase subunit b (ec 5.99.1.3)
DNA gyrase subunit A (EC 5.99.1.3)	dna gyrase subunit a (ec 5.99.1.3)
FIG187021: hypothetical protein	fig187021: hypothetical protein
Lysophospholipase (EC 3.1.1.5)	lysophospholipase (ec 3.1.1.5)
Glycopeptide antibiotics resistance protein	glycopeptide antibiotics resistance protein
NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	nadp-specific glutamate dehydrogenase (ec 1.4.1.4)
Large-conductance mechanosensitive channel	large-conductance mechanosensitive channel
protein of unknown function DUF159	protein of unknown function duf159
Zinc metalloprotease (EC 3.4.24.-)	zinc metalloprotease (ec 3.4.24.-)
FIG00425372: hypothetical protein	fig00425372: hypothetical protein
hypothetical protein	hypothetical protein
Hemolysins and related proteins containing CBS domains	hemolysins and related proteins containing cbs domains
Carbonic anhydrase (EC 4.2.1.1)	carbonic anhydrase (ec 4.2.1.1)
Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)	alkyl hydroperoxide reductase protein c (ec 1.6.4.-)
Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	alkyl hydroperoxide reductase protein f (ec 1.6.4.-)
Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	phosphoenolpyruvate carboxylase (ec 4.1.1.31)
Integral membrane protein	integral membrane protein
Deoxycytidine triphosphate deaminase (dUMP- forming)	deoxycytidine triphosphate deaminase (dump- forming)
Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities	bifunctional plp-dependent enzyme with beta-cystathionase and maltose regulon repressor activities
Lysophospholipase L2 (EC 3.1.1.5)	lysophospholipase l2 (ec 3.1.1.5)
peptidase	peptidase
FHA domain containing protein	fha domain containing protein
FIG00818182: hypothetical protein	fig00818182: hypothetical protein
Serine/threonine phosphatase PPP (EC 3.1.3.16)	serine/threonine phosphatase ppp (ec 3.1.3.16)
Cell division protein FtsW	cell division protein ftsw
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	cell division protein ftsi [peptidoglycan synthetase] (ec 2.4.1.129)
Serine/threonine-protein kinase PknA (EC 2.7.11.1)	serine/threonine-protein kinase pkna (ec 2.7.11.1)
Serine/threonine protein kinase PrkC, regulator of stationary phase	serine/threonine protein kinase prkc, regulator of stationary phase
Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	anthranilate synthase, amidotransferase component (ec 4.1.3.27)
Sortase (surface protein transpeptidase)	sortase (surface protein transpeptidase)
FIG215594: Membrane spanning protein	fig215594: membrane spanning protein
FIG00672289: hypothetical protein	fig00672289: hypothetical protein
N6-adenine-specific methylase	n6-adenine-specific methylase
FIG056164: rhomboid family serine protease	fig056164: rhomboid family serine protease
FIG00672021: hypothetical protein	fig00672021: hypothetical protein
Glycogen phosphorylase (EC 2.4.1.1)	glycogen phosphorylase (ec 2.4.1.1)
FIG00423899: hypothetical protein	fig00423899: hypothetical protein
Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	tryptophanyl-trna synthetase (ec 6.1.1.2)
FIG00672454: hypothetical protein	fig00672454: hypothetical protein
tRNA-guanine transglycosylase (EC 2.4.2.29)	trna-guanine transglycosylase (ec 2.4.2.29)
Low-specificity L-threonine aldolase (EC 4.1.2.5)	low-specificity l-threonine aldolase (ec 4.1.2.5)
FIG00672241: hypothetical protein	fig00672241: hypothetical protein
GNAT family acetyltransferase VC2332	gnat family acetyltransferase vc2332
Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	oligopeptide transport atp-binding protein oppf (tc 3.a.1.5.1)
putative ABC transporter, permease	putative abc transporter, permease
Tetracycline resistance protein TetW	tetracycline resistance protein tetw
putative ABC transporter, periplasmic solute- binding protein	putative abc transporter, periplasmic solute- binding protein
Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)	transcriptional regulator, gntr family domain / aspartate aminotransferase (ec 2.6.1.1)
probable glucosyl transferase	probable glucosyl transferase
Beta-1,3-glucosyltransferase	beta-1,3-glucosyltransferase
Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (ec 2.4.2.-)
Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (ec 2.4.2.-)
Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)	lead, cadmium, zinc and mercury transporting atpase (ec 3.6.3.3) (ec 3.6.3.5); copper-translocating p-type atpase (ec 3.6.3.4)
Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)	ferredoxin--nadp(+) reductase, actinobacterial (eukaryote-like) type (ec 1.18.1.2)
Peptidase M48, Ste24p precursor	peptidase m48, ste24p precursor
Peptide deformylase (EC 3.5.1.88)	peptide deformylase (ec 3.5.1.88)
